corruption,severity,pred_entropy_mean,pred_entropy_std,true_entropy_mean,entropy_delta_from_truth
gaussian_noise,0.0,0.608960747718811,0.6612642407417297,0.2247617542743683,0.38419899344444275
gaussian_noise,0.05,0.6199931502342224,0.6657968759536743,0.2247617542743683,0.3952313959598541
gaussian_noise,0.1,0.6623620986938477,0.6957787275314331,0.2247617542743683,0.43760034441947937
gaussian_noise,0.2,0.828185498714447,0.71943199634552,0.2247617542743683,0.6034237146377563
gaussian_noise,0.3,0.9949998259544373,0.7299895882606506,0.2247617542743683,0.7702380418777466
gaussian_blur,0.0,0.608960747718811,0.6612642407417297,0.2247617542743683,0.38419899344444275
gaussian_blur,1.0,1.020943522453308,0.6530042886734009,0.2247617542743683,0.7961817979812622
gaussian_blur,2.0,1.1835591793060303,0.5875760316848755,0.2247617542743683,0.9587974548339844
gaussian_blur,3.0,1.2009918689727783,0.5676664710044861,0.2247617542743683,0.9762301445007324
gaussian_blur,4.0,1.2337207794189453,0.562990128993988,0.2247617542743683,1.0089590549468994
contrast,0.0,0.608960747718811,0.6612642407417297,0.2247617542743683,0.38419899344444275
contrast,0.2,0.6618873476982117,0.6691794395446777,0.2247617542743683,0.4371255934238434
contrast,0.4,0.7988183498382568,0.690014123916626,0.2247617542743683,0.5740566253662109
contrast,0.6,1.1255967617034912,0.7031744122505188,0.2247617542743683,0.9008350372314453
contrast,0.8,1.8151170015335083,0.5320519208908081,0.2247617542743683,1.5903552770614624
